"treeID","bin","95th_eucDist","bin_numb"
5,"(11.9,12.4].95%",3.58506835652491,11.9
5,"(12.4,12.9].95%",4.39926254158318,12.4
5,"(12.9,13.4].95%",4.197126450986,12.9
5,"(13.4,13.9].95%",4.68321922127175,13.4
5,"(13.9,14.4].95%",4.356628469655,13.9
5,"(14.4,14.9].95%",2.81193706240189,14.4
5,"(14.9,15.4].95%",2.95098400020839,14.9
5,"(15.9,16.4].95%",2.15012869056984,15.9
5,"(16.4,16.9].95%",2.98366548164923,16.4
5,"(16.9,17.4].95%",0.698287800302418,16.9
5,"(17.4,17.9].95%",0.803677450083453,17.4
5,"(17.9,18.4].95%",3.04693782033882,17.9
5,"(18.4,18.9].95%",2.68986931485299,18.4
5,"(18.9,19.4].95%",3.04346181833477,18.9
5,"(19.4,19.9].95%",1.96223948633853,19.4
5,"(19.9,20.4].95%",1.8662027705451,19.9
5,"(20.9,21.4].95%",NA,20.9
5,"(21.4,21.9].95%",1.97453401985938,21.4
5,"(21.9,22.4].95%",1.89762933417357,21.9
7,"(1.37,1.87].95%",2.66016555112502,1.37
7,"(1.87,2.37].95%",2.63612299136042,1.87
7,"(2.37,2.87].95%",2.676634070162,2.37
7,"(2.87,3.37].95%",2.69841972576052,2.87
7,"(3.37,3.87].95%",2.70351090822253,3.37
7,"(3.87,4.37].95%",2.72041135984389,3.87
7,"(4.37,4.87].95%",3.72616976963349,4.37
7,"(4.87,5.37].95%",3.43751048823325,4.87
7,"(5.37,5.87].95%",2.84873480665361,5.37
7,"(5.87,6.37].95%",2.88498135510336,5.87
7,"(6.37,6.87].95%",3.95074980107522,6.37
7,"(6.87,7.37].95%",2.89433479276085,6.87
7,"(7.37,7.87].95%",2.88234285871195,7.37
7,"(7.87,8.37].95%",4.14884706039643,7.87
7,"(8.37,8.87].95%",3.97627988051989,8.37
7,"(8.87,9.37].95%",3.80664251017615,8.87
7,"(9.37,9.87].95%",3.29217887853661,9.37
7,"(9.87,10.4].95%",3.56451903835297,9.87
7,"(10.4,10.9].95%",2.93745739985336,10.4
7,"(10.9,11.4].95%",3.09555153485169,10.9
7,"(11.4,11.9].95%",3.34988770999393,11.4
7,"(11.9,12.4].95%",3.36849533505071,11.9
7,"(12.4,12.9].95%",3.49178580641568,12.4
7,"(12.9,13.4].95%",3.27418673650634,12.9
7,"(13.4,13.9].95%",3.93592313843655,13.4
7,"(13.9,14.4].95%",3.57596166512381,13.9
7,"(14.4,14.9].95%",3.465100445308,14.4
7,"(14.9,15.4].95%",4.06213081826682,14.9
7,"(15.4,15.9].95%",3.10282888106675,15.4
7,"(15.9,16.4].95%",3.20214006571449,15.9
7,"(16.4,16.9].95%",3.09259011114597,16.4
7,"(16.9,17.4].95%",3.04693273782009,16.9
7,"(17.4,17.9].95%",3.54588122446526,17.4
7,"(17.9,18.4].95%",2.74609807132389,17.9
7,"(18.4,18.9].95%",1.78740630330451,18.4
7,"(18.9,19.4].95%",2.11533941043495,18.9
7,"(19.4,19.9].95%",1.56488492716681,19.4
7,"(19.9,20.4].95%",1.42483346310829,19.9
7,"(20.4,20.9].95%",1.24247234589931,20.4
7,"(20.9,21.4].95%",1.78954265212819,20.9
7,"(21.9,22.4].95%",0.984484741312674,21.9
7,"(22.4,22.9].95%",0.584851769174083,22.4
